期号,红球,蓝球
2,3 4 5 注数 奖金(元),注数 奖金(元)
26045,01 15 21 26 33,04 07
26044,03 08 22 26 29,07 10
26043,08 12 14 19 22,11 12
26042,02 07 13 19 24,03 08
26041,24 25 27 29 34,02 06
26040,06 12 13 21 34,08 09
26039,09 11 20 26 27,06 09
26038,08 17 21 33 35,06 07
26037,07 12 13 28 32,06 08
26036,04 07 16 26 32,05 08
26035,02 22 30 33 34,08 12
26034,11 12 25 26 27,08 11
26033,03 05 07 09 18,02 10
26032,03 04 19 26 32,01 12
26031,06 08 22 29 34,05 07
26030,02 13 22 28 34,05 12
26029,03 05 17 33 35,05 07
26028,15 27 29 30 34,01 10
26027,09 10 11 12 16,01 11
26026,10 11 22 26 32,01 08
26025,03 15 24 28 29,03 07
26024,02 04 08 10 21,09 12
26023,09 25 26 27 28,01 08
26022,05 09 10 18 26,05 06
26021,05 08 12 14 17,04 05
26020,01 10 21 23 29,10 12
26019,12 13 14 16 31,04 12
26018,09 11 19 30 35,01 12
26017,04 05 10 23 31,07 12
26016,08 09 12 19 24,01 06
